path,condition,seed,step,phase,cue,chosen,correct,reward,agreement,branches,old,currents,change_score,stale_score,probe_pairs,probe_text,insufficient_history
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,0,pre,red,C,C,1,0.6,C|A|A|C|C,,,,,,,1
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,1,pre,red,C,C,1,0.4,C|A|C|B|B,,,,,,,1
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,2,pre,blue,A,B,0,0.4,A|C|A|B|B,,,,,,,1
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,3,pre,red,B,C,0,0.6,C|B|B|B|C,,,,,,,1
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,4,pre,green,B,A,0,0.6,A|B|B|B|C,,,,,,,1
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,5,pre,red,C,C,1,0.4,A|C|B|B|C,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,6,pre,red,B,C,0,0.6,C|A|B|B|B,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,7,pre,red,C,C,1,0.6,C|C|B|B|C,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,8,pre,red,C,C,1,0.8,C|C|C|B|C,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,9,pre,red,C,C,1,0.6,C|A|C|C|B,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,10,post,green,A,B,0,0.6,A|A|A|B|C,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,11,post,blue,B,C,0,0.8,A|B|B|B|B,A,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,12,post,green,A,B,0,0.6,A|A|A|C|B,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,13,post,blue,B,C,0,0.8,B|C|B|B|B,A,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,14,post,red,C,A,0,0.6,C|A|C|B|C,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,15,post,blue,B,C,0,0.6,B|C|A|B|B,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,16,post,blue,A,C,0,0.4,A|A|B|B|C,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,17,post,green,A,B,0,0.4,A|C|B|A|C,A,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,18,post,red,B,A,0,0.8,B|A|B|B|B,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed0.csv,shift,0,19,post,green,A,B,0,0.8,A|A|A|?|A,A,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,0,pre,blue,B,B,1,0.6,B|A|A|B|B,,,,,,,1
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,1,pre,green,A,A,1,0.8,A|A|A|A|?,,,,,,,1
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,2,pre,blue,B,B,1,0.4,B|A|C|B|C,,,,,,,1
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,3,pre,red,C,C,1,0.8,C|B|C|C|C,,,,,,,1
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,4,pre,blue,B,B,1,0.4,A|B|C|B|C,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,5,pre,red,A,C,0,0.6,A|A|A|B|C,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,6,pre,red,C,C,1,1.0,C|C|C|C|C,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,7,pre,red,A,C,0,0.4,A|C|C|B|A,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,8,pre,green,B,A,0,0.6,A|B|A|B|B,A,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,9,pre,red,C,C,1,0.8,C|C|C|C|B,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,10,post,blue,B,C,0,0.8,B|B|B|B|C,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,11,post,blue,A,C,0,0.4,A|A|B|C|C,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,12,post,red,B,A,0,0.4,B|A|B|A|C,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,13,post,blue,A,C,0,0.4,A|A|B|C|C,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,14,post,red,B,A,0,0.6,C|C|B|B|B,C,NO|YES|NO,0.333,0.000,NO|YES|NO,NO|YES|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,15,post,red,A,A,1,0.4,A|A|C|B|C,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,16,post,green,A,B,0,0.6,A|A|A|B|C,A,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/3b/ov0_none_seed1.csv,shift,1,17,post,blue,A,C,0,0.4,A|A|C|B|C,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
